id,original_language
1,Spanish
2,English
3,French
4,Greek
5,German
6,Russian
7,German
8,Russian
9,German
10,English
11,French
12,French
13,English
14,English
15,English
16,French
17,Dutch
18,German
19,English
20,Russian
21,Polish
22,French
23,German
24,English
25,English
26,Japanese
27,Serbo
28,English
29,English
30,Spanish
31,German
32,Danish
33,German
34,English
35,English
36,Romanian
37,English
38,French
39,Russian
40,Italian
41,German
42,German
43,German
44,French
45,English
46,French
47,French
48,English
49,Russian
50,English
51,Catalan
52,English
53,English
54,English
55,English
56,French
57,English
58,Hungarian
59,French
60,Italian
61,English
62,Danish
63,Chinese
64,English
65,German
66,English
67,German
68,Italian
69,English
70,English
71,English
72,English
73,English
74,Occitan
75,Russian
76,German
77,Japanese
78,French
79,Kannada
80,French
81,English
82,Hungarian
83,Spanish
84,English
85,English
86,English
87,English
88,German
89,English
90,Chinese
91,Russian
92,German
93,English
94,English
95,German
96,French
97,English
98,French
99,French
100,French
101,Russian
102,English
103,English
104,Serbo
105,English
106,French
107,Polish
108,Spanish
109,English
110,Greek
111,Serbo
112,English
113,English
114,German
115,French
116,English
117,English
118,English
119,English
120,German
121,Spanish
122,English
123,English
124,English
125,English
126,Russian
127,French
128,English
129,English
130,English
131,English
132,French
133,English
134,French
135,German
136,English
137,English
138,English
139,Russian
140,English
141,English
142,English
143,French
144,Spanish
145,English
146,English
147,English
148,Japanese
149,English
150,French
151,Spanish
152,German
153,English
154,Italian
155,Spanish
156,English
157,English
158,English
159,English
160,English
161,English
162,Swedish
163,Italian
164,Arabic
165,English
166,English
167,English
168,English
169,English
170,Serbo
171,English
172,English
173,French
174,Swedish
175,English
176,English
177,English
178,English
179,English
180,English
181,English
182,Swedish
183,English
184,Russian
185,English
186,English
187,German
188,German
189,Russian
190,English
191,Italian
192,English
193,English
194,English
195,Russian
196,English
197,English
198,Russian
199,German
200,French
201,Russian
202,English
203,French
204,English
205,Italian
206,English
207,English
208,Russian
209,German
210,English
211,English
212,Chinese
213,English
214,English
215,English
216,English
217,English
218,English
219,English
220,English
221,English
222,English
223,English
224,Greek
225,English
226,Italian
227,Italian
228,French
229,English
230,English
231,French
232,English
233,English
234,Swedish
235,English
236,English
237,Czech
238,Spanish
239,French
240,English
241,Russian
242,Italian
243,English
244,English
245,English
246,French
247,English
248,English
249,Spanish
250,Italian
251,French
252,English
253,English
254,English
255,Catalan
256,English
257,Russian
258,English
259,German
260,Japanese
261,English
262,English
263,English
264,English
265,Russian
266,English
267,English
268,English
269,English
270,English
271,English
272,Hungarian
273,Polish
274,French
275,Italian
276,English
277,French
278,English
279,English
280,English
281,English
282,French
283,Russian
284,Hungarian
285,English
286,French
287,Italian
288,English
289,Danish
290,German
291,English
292,English
293,English
294,English
295,Hungarian
296,Spanish
297,Italian
298,English
299,English
300,English
301,Hungarian
302,English
303,English
304,English
305,English
306,English
307,English
308,English
309,German
310,Russian
311,Hindi
312,German
313,English
314,Hungarian
315,German
316,English
317,English
318,French
319,English
320,English
321,English
322,English
323,Arabic
324,English
325,English
326,English
327,German
328,English
329,English
330,English
331,English
332,French
333,French
334,English
335,English
336,English
337,Various
338,French
339,English
340,English
341,French
342,English
343,English
344,English
345,English
346,Chinese
347,Italian
348,English
349,Italian
350,English
351,French
352,Russian
353,English
354,English
355,English
356,French
357,English
358,English
359,English
360,English
361,French
362,English
363,English
364,French
365,Hungarian
366,English
367,English
368,French
369,English
370,English
371,English
372,English
373,English
374,English
375,Polish
376,English
377,Russian
378,French
379,English
380,French
381,French
382,French
383,French
384,Russian
385,English
386,English
387,English
388,English
389,French
390,Turkish
391,English
392,English
393,English
394,English
395,English
396,English
397,English
398,English
399,Chinese
400,English
401,Russian
402,English
403,English
404,Chinese
405,Italian
406,German
407,Hungarian
408,English
409,English
410,German
411,English
412,English
413,English
414,English
415,English
416,English
417,Russian
418,English
419,English
420,French
421,English
422,English
423,Russian
424,English
425,English
426,English
427,German
428,English
429,English
430,English
431,English
432,English
433,English
434,French
435,French
436,English
437,Swedish
438,Russian
439,English
440,Italian
441,Russian
442,English
443,English
444,English
445,English
446,English
447,German
448,French
449,English
450,Russian
451,English
452,Czech
453,French
454,English
455,English
456,English
457,Italian
458,French
459,German
460,English
461,English
462,Spanish
463,English
464,German
465,French
466,English
467,English
468,English
469,Italian
470,English
471,English
472,German
473,English
474,German
475,English
476,English
477,Russian
478,English
479,Spanish
480,Italian
481,English
482,English
483,English
484,German
485,Russian
486,French
487,Dutch
488,English
489,English
490,French
491,English
492,English
493,English
494,Italian
495,English
496,English
497,French
498,English
499,English
500,English
501,English
502,German
503,Russian
504,English
505,Dutch
506,English
507,English
508,English
509,Hungarian
510,English
511,English
512,English
513,English
514,Italian
515,English
