id,author_translation_note,isbn,pub_date
1,"by Julio Ramón Ribeyro, edited and translated from the Spanish by Katherine Silver",9781681373232,"August 13, 2019"
2,"by Françoise Gilot and Carlton Lake, with an introduction by Lisa Alther",9781681373195,"June 4, 2019"
3,"by Jean-Patrick Manchette, translated from the French by Donald Nicholson-Smith",9781681373171,"August 13, 2019"
4,"by Margarita Liberaki, translated from the Greek by Karen Van Dyck",9781681373300,"May 7, 2019"
5,"by Kurt Tucholsky, translated from the German by Michael Hofmann",9781681373348,"July 9, 2019"
6,"by Vasily Grossman, translated from the Russian by Robert Chandler and Elizabeth Chandler",9781681373270,"June 11, 2019"
7,"by Walter Benjamin, translated from the German by Tess Lewis, edited and with an introduction by Samuel Titan",9781681370583,"March 19, 2019"
8,"by Maxim Osipov, introduction by Sana Krasikov, edited by Boris Dralyuk, translated from the Russian by Boris Dralyuk, Alex Fleming, and Anne Marie Jackson",9781681373324,"April 9, 2019"
9,"by Gregor von Rezzori, introduction by Joshua Cohen, translated from the German by David Dollenmayer, Joachim Neugroschel, and Marshall Yarbrough",9781681373256,"April 9, 2019"
10,"by Lillian Ross, with a foreword by Anjelica Huston and an introduction by the author",9781681373157,"April 23, 2019"
11,"by Emmanuel Bove, introduction by Garnette Cadogan, translated from the French by Janet Louth",,"March 26, 2019"
12,"by Jean Giono, translated from the French by Alyson Waters, with an introduction by Susan Stewart",9781681373096,"April 16, 2019"
13,by John Williams,9781681373072,"February 12, 2019"
14,"by Michael Walzer, with an introduction by Jon Wiener, and a new preface by the author",9781681373539,"February 5, 2019"
15,"by Darius James, introduction by Amy Abugo Ongiri",9781681373294,"February 19, 2019"
16,"by Victor Serge, translated from the French by Mitchell Abidor and Richard Greeman",9781681372709,"March 26, 2019"
17,"by Multatuli, introduction by Pramoedya Ananta Toer, translated from the Dutch by Ina Rilke and David McKay",9781681372624,"February 26, 2019"
18,"by Gabriele Tergit, introduction and translated from the German by Sophie Duvernoy",9781681372723,"April 30, 2019"
19,"by Salka Viertel, introduction by Lawrence Weschler, afterword by Donna Rikfind",9781681372747,"January 15, 2019"
20,"by Lev Ozerov, introduction by Boris Dralyuk, edited by Robert Chandler and Boris Dralyuk, translated from the Russian by Maria Bloshteyn, Robert Chandler, Boris Dralyuk, and Irina Mashinski",9781681372686,"December 4, 2018"
21,"by Józef Czapski, translated from the Polish by Antonia Lloyd-Jones, with an introduction by Timothy Snyder",9781681372563,"December 18, 2018"
22,"by Józef Czapski, introduction and translated from the French by Eric Karpeles",9781681372587,"November 6, 2018"
23,"by Jean Améry, translated from the German by Adrian Nathan West",9781681372501,"September 4, 2018"
24,"by Iris Origo, introduction by Virginia Nicholson",9781681372662,"August 7, 2018"
25,"by Iris Origo, introduction by Lucy Hughes-Hallett, afterword by Katia Lysy",9781681372648,"August 7, 2018"
26,"by Kenji Miyazawa, translated from the Japanese by John Bester",9781681372600,"October 2, 2018"
27,"by Ivo Andrić, introduction by William T. Vollmann, translated from the Serbo-Croatian by Celia Hawkesworth",9781681372525,"October 30, 2018"
28,"by David R. Bunch, foreword by Jeff VanderMeer",9781681372549,"September 11, 2018"
29,"by Lesley Blanch, introduction by Georgia de Chamberet",9781681371931,"July 10, 2018"
30,"by Juan Eduardo Cirlot, introduction by Philip Pullman, translated from the Spanish by Jack Sage and Valerie Miles, epilogue by Victoria Cirlot",9781681371979,"April 23, 2019"
31,"by Wolfgang Herrndorf, translated from the German by Tim Mohr, afterword by Michael Maar",9781681372013,"June 12, 2018"
32,"by Tom Kristensen, translated from the Danish by Carl Malmberg, introduction by Morten Høi Jensen",9781681372075,"June 12, 2018"
33,"by Anna Seghers, translated from the German by Margot Bettauer Dembo, afterword by Thomas von Steinaecker",9781681372129,"May 22, 2018"
34,"by Robert Aickman, edited and with an introduction by Victoria Nelson",9781681371894,"May 8, 2018"
35,"by Helen Weinzweig, afterword by Sarah Weinman",9781681372167,"April 17, 2018"
36,"by Matei Calinescu, introduction by Norman Manea, translated from the Romanian by Adriana Calinescu and Breon Mitchell",9781681371955,"March 20, 2018"
37,"by Sybille Bedford, with an introduction by the author",9781681371917,"June 5, 2018"
38,"by Jean-Patrick Manchette, translated from the French by Donald Nicholson-Smith, introduction by Doug Headline, with an afterword by Gary Indiana",9781681372105,"May 1, 2018"
39,"by Varlam Shalamov, translated from the Russian by Donald Rayfield",9781681372143,"June 12, 2018"
40,"by Curzio Malaparte, translated from the Italian and with a foreword by Jenny McPhee",9781681372099,"April 10, 2018"
41,"by Walter Kempowski, introduction by Jenny Erpenbeck, translated from the German by Anthea Bell",9781681372051,"February 13, 2018"
42,"by Uwe Johnson, translated from the German by Damion Searls",9781681372037,"October 16, 2018"
43,"by Alfred Döblin, translated from the German and with an introduction by Michael Hofmann",9781681371993,"March 6, 2018"
44,"by Honoré de Balzac, translated from the French by Jordan Stump, introduction by Morris Dickstein",9781681371252,"January 9, 2018"
45,"by Barbara Comyns, introduction by Sadie Stein",9781681371313,"January 23, 2018"
46,"by Julien Gracq, translated from the French and with a foreword by Richard Howard",9781681371399,"November 21, 2017"
47,"by François-René de Chateaubriand, translated from the French by Alex Andriesse, introduction by Anka Muhlstein",9781681371290,"February 20, 2018"
48,"by Henry Green, introduction by Francine Prose",9781681371436,"October 17, 2017"
49,"by Marina Tsvetaeva, translated from the Russian by Jamey Gambrell",9781681371627,"December 5, 2017"
50,"by Henry Green, introduction by Michael Gorra",9781681371412,"October 17, 2017"
51,"by Joan Sales, translated from the Catalan by Peter Bush, foreword by Juan Goytisolo",9781681371801,"October 10, 2017"
52,"by Eileen Chang, translated by Jane Weizhen Pan and Martin Merz",9781681371276,"January 16, 2018"
53,"by Elizabeth Hardwick, selected and with an introduction by Darryl Pinckney",9781681371542,"October 17, 2017"
54,"by David Plante, introduction by Scott Spencer",9781681371498,"September 26, 2017"
55,"by Richard Stern, introduction by Philip Roth, afterword by Wendy Doniger",9781681371511,"August 29, 2017"
56,"by Jean Giono, introduction by Edmund White, a new translation from the French by Paul Eprile",9781681371375,"September 12, 2017"
57,"by Dorothy B. Hughes, afterword by Megan Abbott",9781681371474,"August 15, 2017"
58,"by Magda Szabó, translated from the Hungarian by Len Rix",9781681371528,"September 12, 2017"
59,"by Louis Guilloux, introduction by Alice Kaplan, translated from the French by Laura Marris",9781681371450,"October 17, 2017"
60,"by Guido Morselli, a new translation from the Italian by Frederika Randall, introduction by Elizabeth McKenzie",9781681370781,"September 19, 2017"
61,"by Patrick Leigh Fermor, introduction by James Campbell",9781590177822,"July 11, 2017"
