book_id,author
1,Julio Ramón Ribeyro
2,Carlton Lake
2,Françoise Gilot
3,Jean-Patrick Manchette
4,Margarita Liberaki
5,Kurt Tucholsky
6,Vasily Grossman
7,Walter Benjamin
8,Maxim Osipov
9,Gregor von Rezzori
10,Lillian Ross
11,Emmanuel Bove
12,Jean Giono
13,John Williams
14,Michael Walzer
15,Darius James
16,Victor Serge
17,Multatuli
18,Gabriele Tergit
19,Salka Viertel
20,Lev Ozerov
21,Józef Czapski
22,Józef Czapski
23,Jean Améry
24,Iris Origo
25,Iris Origo
26,Kenji Miyazawa
27,Ivo Andrić
28,David R. Bunch
29,Lesley Blanch
30,Juan Eduardo Cirlot
31,Wolfgang Herrndorf
32,Tom Kristensen
33,Anna Seghers
34,Robert Aickman
35,Helen Weinzweig
36,Matei Calinescu
37,Sybille Bedford
38,Jean-Patrick Manchette
39,Varlam Shalamov
40,Curzio Malaparte
41,Walter Kempowski
42,Uwe Johnson
43,Alfred Döblin
44,Honoré de Balzac
45,Barbara Comyns
46,Julien Gracq
47,François-René de Chateaubriand
48,Henry Green
49,Marina Tsvetaeva
50,Henry Green
51,Joan Sales
52,Eileen Chang
53,Elizabeth Hardwick
54,David Plante
55,Richard Stern
56,Jean Giono
57,Dorothy B. Hughes
58,Magda Szabó
59,Louis Guilloux
60,Guido Morselli
61,Patrick Leigh Fermor
62,Thorkild Hansen
63,Qiu Miaojin
64,Alice Goodman
65,Alice Herdan-Zuckmayer
66,Norman Podhoretz
67,Arthur Schnitzler
68,Umberto Saba
69,Leonora Carrington
70,Sybille Bedford
71,Henry Green
72,Henry Green
73,Henry Green
74,Marcabru
74,Aimeric de Peguilhan
74,Peire Cardenal
74,Sordello
74,Giraut Riqiuer
74,"Guillem IX, Duke of Aquitaine"
74,Beatritz de Dia
74,Bernart de Ventadorn
74,Bertran de Born
74,Guilhem de Cabestanh
74,Count of Foix
74,Peire Vidal
74,Pons de Capdueill
74,Jaufré Rudel de Blaia
74,Peire D'Alvernhe
74,Aimeric de Belenoi
74,Cercamon
74,Gavaudan
74,Jausbert de Puycibot
74,Arnaut de Mareuil
74,Bernart Arnaut de Moncuc
74,Cadenet
74,Montanhagol
74,Arnaut Daniel
74,Raimon Jordan
74,Peire Salvatge
74,Anonymous
74,Maestre Bernart d'Auriac
74,Gaucelm Faidit
74,Raimbaut de Vaiqueras
74,The Monk of Montaudon
74,Pedro III of Aragon
75,Sigizmund Krzhizhanovsky
76,Hans Herbert Grimm
77,unknown
78,Guy de Maupassant
79,U.R. Ananthamurthy
80,Robert Bresson
81,Henry Green
82,Magda Szabó
83,Leopoldo Alas
84,Thomas Flanagan
85,Thomas Flanagan
86,Henry Green
87,Henry Green
88,Robert Walser
89,Eve Babitz
90,Ge Fei
91,Teffi
92,Alfred Döblin
93,D. G. Compton
94,Sybille Bedford
95,Vicki Baum
96,Jean d'Ormesson
97,Mavis Gallant
98,Jean-Paul Clébert
99,Patrick Modiano
100,Patrick Modiano
101,Teffi
102,Barnabe Googe
102,Sir Philip Sidney
102,"Thomas, Lord Vaux"
102,George Gascoigne
102,Sir Walter Ralegh
102,Edmund Spenser
102,Sir Edward Dyer
102,Michael Drayton
102,"Henry Howard, Earl of Surrey"
102,George Peele
102,John Donne
102,Thomas Campion
102,Thomas Lodge
102,Sir Thomas More
102,Thomas Nashe
102,Sir Thomas Wyatt
102,Robert Greene
102,Ben Jonson
102,William Shakespeare
102,George Turberville
102,Samuel Daniel
102,Fulke Greville
102,John Skelton
102,unknown
103,Eleanor Perényi
104,Borislav Pekić
105,Bernard Wolfe
105,Mezz Mezzrow
106,Jean Giono
107,Miron Białoszewski
108,Roberto Arlt
109,William Sloane
110,George Psychoundakis
111,Aleksandar Tišma
112,John Williams
113,Barbara Comyns
114,Jakob Wassermann
115,Benjamin Fondane
116,Agnes de Mille
117,Elliott Chaze
118,Leonard Gardner
119,Eve Babitz
120,Friedrich Nietzsche
121,Antonio di Benedetto
122,Dorothy Baker
123,Elizabeth Taylor
124,Raymond Queneau
125,Stephen Benatar
126,Tatyana Tolstaya
127,Marc Fumaroli
128,J.F. Powers
129,James Schuyler
130,J. R. Ackerley
131,Jean-Paul Sartre
132,Raymond Queneau
133,Oakley Hall
134,Simone Weil
134,Rachel Bespaloff
135,Gershom Scholem
136,James Vance Marshall
137,Sir Walter Scott
137,Innes Randolph
137,Gilbert Keith Chesterton
137,Thomas Moore
137,Alfred Edward Housman
137,George Canning
137,John Betjeman
137,Robert Herrick
137,Thomas Hardy
137,Jonathan Swift
137,Robert Burns
137,William Cleland
137,William Dunbar
137,Lord Francis Jeffrey
137,Charles Lamb
137,Arthur Hugh Clough
137,Walter Savage Landor
137,Charles Stuart Calverly
137,Lewis Carroll
137,Charles Lutwidge Dodgson
137,Hilaire Belloc
137,Siegfried Sassoon
137,Henry Fielding
137,John Gay
137,Richard Harris Barham
137,Thomas Ravenscroft
137,Thomas Durfey
137,Richard Brinsley Sheridan
137,Edmund Spenser
137,Oliver Goldsmith
137,David Garrick
137,Lord Thomas Babington Macaulay
137,Edmund Clerihew Bentley
137,Geoffrey Chaucer
