openrefine_author_name,lat,long
Julio Ramón Ribeyro,-12.05,-77.03333333
Robert Louis Stevenson,-13.85983333,-171.7593333
Stefan Zweig,-22.505,-43.17888889
Patrick White,-33.86666667,151.2
Roberto Arlt,-34.59972222,-58.38194444
Antonio di Benedetto,-34.59972222,-58.38194444
Silvina Ocampo,-34.59972222,-58.38194444
Adolfo Bioy Casares,-34.59972222,-58.38194444
Pierre Ryckmans,-35.30277778,149.1416667
Adam Gordon,-37.905,144.996
Gerolamo Cardano,-38.73333333,-72.95
U. R. Ananthamurthy,12.969907,77.597963
Thorkild Hansen,14.525556,-75.818333
Camara Laye,14.73194444,-17.45722222
James Grainger,17.319722,-62.747222
Arun Kolatkar,18.52361111,73.84777778
Leonora Carrington,19.41944444,-99.14555556
Álvaro Mutis,19.41944444,-99.14555556
Victor Serge,19.41944444,-99.14555556
Gabriel García Márquez,19.41944444,-99.14555556
David Kidd,21.308889,-157.826111
Eliza Fay,22.54111111,88.33777778
Kabir,26.76,83.13
Li He,28.58333333,112.3333333
Ambrose Bierce,28.63527778,-106.0888889
Carlton Lake,30.3,-97.733333
Lewis Elliott Chaze,31.3158,-89.3086
Intizar Hussain,31.54972222,74.34361111
Cadenet,31.625321,35.145264
Gershom Scholem,31.78333333,35.21666667
Richard G. Stern,32.00666667,-80.84944444
G. V. Desani,32.75722222,-97.33305556
Elizabeth von Arnim,32.77611111,-79.9325
Masanobu Fukuoka,33.7575,132.7038889
Thomas Holley Chivers,33.7714,-84.2978
Brian Moore,34.03055556,-118.7786111
Tess Slesinger,34.05,-118.25
Milton Rokeach,34.05,-118.25
Tom Tryon,34.05,-118.25
Elaine Dundy,34.05,-118.25
John Collier,34.05,-118.25
William Attaway,34.05,-118.25
Eileen Chang,34.0561,-118.43
Jean Renoir,34.07305556,-118.3994444
Vicki Baum,34.1,-118.3333333
Bernard Wolfe,34.13333333,-118.65
Alfred Hayes,34.15111111,-118.4483333
Du Mu,34.26666667,108.9
Han Yu,34.26666667,108.9
Zhuangzi,34.42592,115.64673
Li Shangyin,34.78791,113.39204
George Psychoundakis,35.51666667,24.01666667
Kong Shangren,35.6,116.9833333
Yasushi Inoue,35.683889,139.774444
Natsume Sōseki,35.683889,139.774444
Lu T'ung,35.86166,104.195397
Dorothy Baker,35.9614,-119.041
John Edward Williams,36.07638889,-94.16083333
John Ehle,36.1025,-80.26055556
Darcy O'Brien,36.13138889,-95.93722222
Aeschylus,37.06666667,14.25
Giovanni Verga,37.50266944,15.08726944
George R. Stewart,37.766667,-122.433333
Jessica Mitford,37.8,-122.25
Thomas Flanagan,37.87027778,-122.2680556
Don Carpenter,37.90611111,-122.545
T. H. White,37.96666667,23.63333333
Marguerite Libéraki,37.97944444,23.71611111
Peter Matthew Hillsman Taylor,38.0299,-78.479
Leonardo Sciascia,38.115658,13.361262
Guillem de Cabestany,38.333333,-3.533333
Lord Byron,38.36666667,21.41666667
David R. Bunch,38.61666667,-90.2
William H. Gass,38.663901,-90.328165
Henry Fielding,38.71666667,-9.166666667
Henry Adams,38.895,-77.03666667
William McPherson,38.895,-77.03666667
Raimbaut de Vaqueiras,39,22
Katherine Anne Porter,39.004242,-77.019004
Matei Călinescu,39.16222222,-86.52916667
Alexandros Papadiamantis,39.16666667,23.48333333
Oakley Hall,39.26138889,-121.0186111
Edgar Allan Poe,39.28638889,-76.615
James Innes Randolph,39.28638889,-76.615
Edgar Allen Poe,39.28638889,-76.615
Robert Merry,39.28638889,-76.615
Kenji Miyazawa,39.38861111,141.1166667
Vachel Lindsay,39.78333333,-89.65027778
Robert Montgomery Bird,39.95277778,-75.16361111
Nina Berberova,39.95277778,-75.16361111
Aimeric de Belenoi,40.416775,-3.70379
Benito Pérez Galdós,40.41888889,-3.691944444
Glenway Wescott,40.4272,-74.99
Agnes de Mille,40.67,-73.94
Herman Melville,40.67,-73.94
Susan Sontag,40.67,-73.94
Carl Van Vechten,40.67,-73.94
Edward Lewis Wallant,40.67,-73.94
Gilbert Seldes,40.67,-73.94
Millen Brand,40.67,-73.94
Lionel Trilling,40.67,-73.94
R. W. Chambers,40.67,-73.94
Emmett Grogan,40.67,-73.94
Raymond Kennedy,40.67,-73.94
Margaret Leech,40.67,-73.94
Paul Radin,40.67,-73.94
Gilbert Highet,40.67,-73.94
Dwight Macdonald,40.67,-73.94
Sara Josephine Baker,40.67,-73.94
Rudolf Wittkower,40.67,-73.94
James Schuyler,40.67,-73.94
Iris Owens,40.67,-73.94
L. J. Davis,40.69277778,-73.99027778
Lillian Ross,40.72833333,-73.99416667
Elizabeth Hardwick,40.72833333,-73.99416667
Arthur Danto Lindo,40.72833333,-73.99416667
Janet Hobhouse,40.72833333,-73.99416667
Murray Kempton,40.72833333,-73.99416667
William Lindsay Gresham,40.72833333,-73.99416667
William Dean Howells,40.72833333,-73.99416667
Lady Caroline Blackwood,40.72833333,-73.99416667
Sanford Friedman,40.72833333,-73.99416667
Margot Wittkower,40.72833333,-73.99416667
Elizabeth Oakes Smith,40.7503,-73.0344
Euripides,40.76,22.519167
Kenneth Fearing,40.76916667,-73.96555556
Sordello,40.83333333,14.25
Francis Steegmuller,40.83333333,14.25
Yaşar Kemal,41.01,28.96027778
Jean Stafford,41.04,-73.778611
William Milligan Sloane III,41.145556,-73.995
Maude Hutchins,41.17583333,-73.27194444
Helen Keller,41.26583333,-73.30083333
Samuel C. Bushnell,41.30833333,-72.925
Peter III of Aragon,41.34472222,1.699444444
Eleanor Perenyi,41.3776,-71.82729
Juan Eduardo Cirlot,41.3825,2.176944444
Joan Sales i Vallès,41.3825,2.176944444
Erich Auerbach,41.45638889,-72.80416667
Robert Sheckley,41.70527778,-73.93055556
H. P. Lovecraft,41.83083333,-71.415
Mark Van Doren,41.835,-73.01194444
John Keats,41.89305556,12.48277778
Giuseppe Tomasi di Lampedusa,41.89305556,12.48277778
Luigi Pirandello,41.89305556,12.48277778
Carlo Emilio Gadda,41.89305556,12.48277778
Curzio Malaparte,41.89305556,12.48277778
Alberto Moravia,41.89305556,12.48277778
Natalia Ginzburg,41.89305556,12.48277778
Josep Pla,41.93305556,3.133055556
Dorothy B. Hughes,42.19138889,-122.7008333
Rachel Bespaloff,42.25833333,-72.575
Harold W. Cruse,42.27527778,-83.73083333
Joan Chase,42.283333,-71.233333
Malcolm Braly,42.30055556,-74.55305556
Robert Frost,42.35777778,-71.06166667
Henry Wadsworth Longfellow,42.375,-71.10611111
Harvey Swados,42.39166667,-72.84027778
Walter Benjamin,42.42666667,3.159444444
Ralph Waldo Emerson,42.46027778,-71.34944444
Henry David Thoreau,42.46027778,-71.34944444
John Updike,42.575,-70.93055556
"Roger-Bernard III, Count of Foix",42.8475,1.606111111
Ramón del Valle-Inclán,42.88333333,-8.533333333
Constance Rourke,42.96125,-85.65571944
Osip Mandelstam,43.11666667,131.9
Guiraut Riquier,43.18472222,3.003611111
John Horne Burns,43.31388889,10.525
Iris Origo,43.31833333,11.33138889
Leopoldo Alas,43.3625,-5.850277778
Edmund Wilson,43.53333333,-75.36527778
Gabriel Chevallier,43.5525,7.021388889
Peire Vidal,43.60444444,1.443888889
Peire Cardenal,43.61091944,3.877230556
Gregor von Rezzori,43.68333333,11.53333333
Helen Weinzweig,43.7,-79.4
Alexander Berkman,43.70194444,7.268333333
D. H. Lawrence,43.72246556,7.111862222
Nathaniel Hawthorne,43.7575,-71.68861111
Arthur Hugh Clough,43.77138889,11.25416667
Walter Savage Landor,43.77138889,11.25416667
Elizabeth Barrett Browning,43.77138889,11.25416667
Carlo Collodi,43.77138889,11.25416667
Lesley Blanch,43.77472222,7.499722222
William Butler Yeats,43.77472222,7.499722222
Edward Lear,43.82141389,7.786561111
Jean Giono,43.83333333,5.783055556
Jean-Paul Clébert,43.84444444,5.168888889
Paul Goodman,44,-71.5
Beatritz de Dia,44,6
Marcabru,44.069167,0.899722
Max Beerbohm,44.35,9.233333333
Julia A. Moore,44.410833,-85.398889
Katharine Sergeant Angell White,44.4139,-68.5867
Dante Alighieri,44.41777778,12.19944444
Ivo Andrić,44.81666667,20.46666667
