openrefine_author_name,lat,long
Julio Ramón Ribeyro,-12.05,-77.03333333
Carlton Lake,42.08333333,-71.01888889
Françoise Gilot,48.88722222,2.2675
Marguerite Libéraki,37.97944444,23.71611111
Kurt Tucholsky,52.51666667,13.38333333
Vasily Grossman,49.89194444,28.6
Walter Benjamin,52.51666667,13.38333333
Maksim Aleksandrovich Osipov,55.75583333,37.61777778
Gregor von Rezzori,48.29083333,25.93444444
Lillian Ross,43.046899,-76.144423
Emmanuel Bove,48.85657778,2.351827778
Jean Giono,43.83333333,5.783055556
Michael Walzer,40.67,-73.94
Darius James,41.30833333,-72.925
Multatuli,52.38333333,4.9
Gabriele Tergit,52.51666667,13.38333333
Salka Viertel,49.51666667,23.2
Lev Ozerov,50.45,30.52361111
Józef Czapski,50.08861111,14.42138889
Jean Améry,48.20833,16.373064
Iris Origo,51.83333333,-2.166666667
Kenji Miyazawa,39.38861111,141.1166667
Ivo Andrić,44.22,17.6708
David R. Bunch,38.14,-93.7272
Lesley Blanch,51.507222,-0.1275
Juan Eduardo Cirlot,41.3825,2.176944444
Wolfgang Herrndorf,53.55,10
Tom Kristensen,51.507222,-0.1275
Robert Aickman,51.507222,-0.1275
Helen Weinzweig,52.216667,21.033333
Matei Călinescu,44.4,26.08333333
Sybille Bedford,52.51666667,13.3
Varlam Shalamov,59.21666667,39.9
Walter Kempowski,54.08333333,12.13333333
Uwe Johnson,53.96972222,14.78583333
Alfred Döblin,53.42472222,14.55527778
Honoré de Balzac,47.39277778,0.6883333333
Barbara Comyns Carr,52.33333333,-1.583333333
Julien Gracq,47.47277778,-0.5555555556
François-René de Chateaubriand,48.64722222,-2.008888889
Henry Green,51.986,-2.136
Joan Sales i Vallès,41.3825,2.176944444
Elizabeth Hardwick,38.02972222,-84.49472222
David Plante,41.83083333,-71.415
Richard G. Stern,40.67,-73.94
Dorothy B. Hughes,39.05,-94.58333333
Louis Guilloux,48.51361111,-2.760277778
Guido Morselli,44.49388889,11.34277778
Patrick Leigh Fermor,51.507222,-0.1275
Thorkild Hansen,55.750472,12.552073
Alice Goodman,44.94416667,-93.09361111
Alice Herdan-Zuckmayer,48.20833,16.373064
Norman Podhoretz,40.66065278,-73.91078056
Arthur Schnitzler,48.20833,16.373064
Umberto Saba,45.63611111,13.80416667
Leonora Carrington,54.047,-2.801
Aimeric de Belenoi,43.977,-0.176
Aimeric de Peguilhan,43.60444444,1.443888889
Anonymous,unknown,
Arnaut Daniel,45.24694444,0.3388888889
Arnaut de Mareuil,45.450556,0.452222
Beatritz de Dia,44.55861111,4.750833333
Bernart Arnaut de Moncuc,44.3397,1.2103
Bernart d'Auriac,unknown,
Bernart de Ventadorn,45.39555556,2.104722222
Bertran de Born,45.18333333,0.7166666667
Cadenet,44,6
Cercamon,43.977,-0.176
Gaucelm Faidit,45.42472222,1.563333333
Gavaudan,44.7,3.3
Guilhem de Montanhagol,44,6
Guillem de Cabestany,42.68055556,2.942777778
Guiraut Riquier,43.18472222,3.003611111
Jaufre Rudel,45.12777778,-0.6622222222
Jausbert de Puycibot,45.68795,1.620483
Marcabru,43.977,-0.176
Monge de Montaudon,44.98,2.625
Peire Cardenal,45.04333333,3.885
Peire d'Alvernhe,45.77972222,3.086944444
Peire Vidal,47,2
Pere Salvatge,40.416775,-3.70379
Peter III of Aragon,39.46666667,-0.375
Pons de Capduelh,45.333333,3
Raimbaut de Vaqueiras,44.13833333,4.982222222
Raimon Jordan,43.60444444,1.443888889
"Roger-Bernard III, Count of Foix",unknown,
Sordello,45.25,10.66666667
William IX,47,2
Sigizmund Krzhizhanovsky,50.45,30.52361111
Hans Herbert Grimm,50.31666667,12.31666667
unknown,35,136
U. R. Ananthamurthy,13.7,75.23
Robert Bresson,45.7,3.216666667
Leopoldo Alas,41.49888889,-5.755555556
Robert Walser,47.13722222,7.247222222
Eve Babitz,34.05,-118.25
Ge Fei,33,120
Nadezhda Teffi,50.25444444,28.65777778
David G. Compton,51.507222,-0.1275
Vicki Baum,48.20833,16.373064
Jean d'Ormesson,48.85916667,2.312777778
Jean-Paul Clébert,48.85657778,2.351827778
Patrick Modiano,48.83527778,2.241388889
Barnabe Googe,53.40039167,0.04926666667
Ben Jonson,51.4995,-0.1333
Edmund Spenser,51.5083,-0.07097
Edward Dyer,51.1485,-2.714
"Fulke Greville, 1st Baron Brooke",52.215,-1.876
George Gascoigne,52.1161,-0.4139
George Turberville,50.833333,-2.333333
"Henry Howard, Earl of Surrey",51.9,-0.2
John Donne,51.507222,-0.1275
John Skelton,52.666667,1
Michael Drayton,52.5398,-1.52
Philip Sidney,51.19,0.73
Robert Greene,52.628056,1.299167
Samuel Daniel,51.01916667,-3.1
Thomas Lodge,51.507222,-0.1275
Thomas More,51.507222,-0.1275
Thomas Nashe,52.48,1.75
"Thomas Vaux, 2nd Baron Vaux of Harrowden",52.283333,-0.833333
Thomas Wyatt,51.27166667,0.5294444444
unknown,53,-1
Walter Raleigh,50.65,-3.316666667
William Shakespeare,52.19,-1.71
Eleanor Perenyi,38.895,-77.036667
Borislav Pekić,42.43972222,19.26611111
Bernard Wolfe,41.30833333,-72.925
Mezz Mezzrow,41.88194444,-87.62777778
Miron Białoszewski,52.21666667,21.03333333
Roberto Arlt,-34.59972222,-58.38194444
William Milligan Sloane III,41.958333,-70.666667
George Psychoundakis,35.27421,24.28408
Jakob Wassermann,49.47833333,10.99027778
Benjamin Fondane,47.16222222,27.58888889
Agnes de Mille,40.80903333,-73.94837222
Lewis Elliott Chaze,30.63389,-92.41889
Leonard Gardner,37.97555556,-121.3008333
Friedrich Nietzsche,51.24083333,12.11611111
Antonio di Benedetto,-32.88333333,-68.83333333
Raymond Queneau,49.49416667,0.1080555556
Stephen Benatar,51.507222,-0.1275
Marc Fumaroli,43.29666667,5.376388889
J. F. Powers,39.7319,-90.2344
Jean-Paul Sartre,4.598888889,-74.08083333
Oakley Hall,32.715,-117.1625
Rachel Bespaloff,42.49027778,26.01222222
Gershom Scholem,52.51666667,13.38333333
Donald G. Payne,51.507222,-0.1275
A. Godwin,53,-1
Alexander Pope,51.507222,-0.1275
Alfred Edward Housman,53,-1
Andrew Marvell,53.7016,-0.033303
Anthony Holborne,53,-1
Arnold Bennett,53.0246,-2.1729
Arthur Hugh Clough,53.41666667,-3
Aurelian Townshend,unknown,
Charles Dibdin,50.906944,-1.404722
Charles Lamb,51.507222,-0.1275
Charles Stuart Calverley,52.2,-2.166666667
D. H. Lawrence,52.955,-1.149166667
David Garrick,52.05638889,-2.716111111
Edmund Clerihew Bentley,51.507222,-0.1275
Edward Lear,51.5716,-0.1448
"Francis Jeffrey, Lord Jeffrey",55.95,-3.198888889
G. K. Chesterton,51.5004,-0.1909
Geoffrey Chaucer,51.507222,-0.1275
George Canning,51.507222,-0.1275
Henry Fielding,51.1356,-2.7653
Herman Melville,40.72833333,-73.99416667
Hilaire Belloc,48.85,2.145
James Innes Randolph,39.1783,-78.1667
Jane Taylor,51.507222,-0.1275
John Betjeman,51.507222,-0.1275
John Dryden,52.48,-0.472
John Fletcher,50.95,0.7333333333
John Gay,51.0823,-4.0489
John Harington,51.402,-2.4318
John Hilton the younger,52.20805556,0.1225
John Suckling,51.507222,-0.1275
"John Wilmot, 2nd Earl of Rochester",51.8875,-1.43417
John Wolcot,50.2833,-3.7765
John Woodcock Graves,-42,147
Jonathan Swift,53.3425,-6.265833333
Laurence Price,unknown,
Lewis Carroll,53.340406,-2.631998
Lord Byron,51.507222,-0.1275
Martin Parker,unknown,
Matthew Prior,51.507222,-0.1275
Maurice Evan Hare,unknown,
Ned Ward,51.75,-1.28
Paul Whitehead,51.507222,-0.1275
Richard Brinsley Sheridan,53.3425,-6.265833333
Richard Corbet,51.3502,-0.2486
Richard Harris Barham,51.27833333,1.0775
Richard Milliken,51.916667,-8.05
Richard Porson,52.821,1.387
Robert Bridges,51.19,0.73
Robert Herrick,51.507222,-0.1275
Robert Jones,unknown,
Ronald Arbuthnot Knox,52.5333,-0.983333
Rudyard Kipling,18.96666667,72.83333333
Samuel Butler,52.05294722,-2.144583333
Samuel C. Bushnell,41.30833333,-72.925
Samuel Taylor Coleridge,50.752,-3.279
Siegfried Sassoon,51.1488,0.3648
"Thomas Babington Macaulay, 1st Baron Macaulay",52.7051,-1.15536
Thomas Campion,51.507222,-0.1275
Thomas d'Urfey,50.7,-3.8
Thomas Hardy,50.71083333,-2.439722222
Thomas Hood,51.507222,-0.1275
Thomas Jordan,51.507222,-0.1275
Thomas Moore,53.3425,-6.265833333
Thomas Ravenscroft,53.16666667,-2.583333333
Thomas Weelkes,51,0
"Thomas Wharton, 1st Marquess of Wharton",51.2667,-1.0876
Vachel Lindsay,39.78333333,-89.65027778
W. S. Gilbert,51.507222,-0.1275
Walter Savage Landor,52.28,-1.59
Walter Scott,55.95,-3.198888889
William Blake,51.507222,-0.1275
William Butler Yeats,53.3252,-6.2069
William Cleland,55.58333333,-3.833333333
William Dunbar,55.91666667,-2.75
William Holborne,unknown,
William Walsh,53,-1
William Wordsworth,54.6613,-3.362
Winthrop Mackworth Praed,51.507222,-0.1275
Maude Hutchins,40.67,-73.94
Arthur Danto Lindo,42.281389,-83.748333
Colm Tóibín,52.502064,-6.565876
Eliot Weinberger,40.67,-73.94
Francine Prose,40.69277778,-73.99027778
James Wood,54.78333333,-1.566666667
John Updike,40.34166667,-75.92611111
Jonathan Lethem,40.67,-73.94
Luc Sante,50.58333333,5.85
Lydia Davis,42.325,-72.64166667
Michael Cunningham,39.13333333,-84.5
Susan Sontag,40.67,-73.94
Toni Morrison,41.44833333,-82.16888889
Ramón del Valle-Inclán,42.5626279,-8.8299345
Patrick Hamilton,50.92330278,-0.1508638889
Nathaniel Hawthorne,42.516845,-70.898503
Russell Hoban,40.2419,-75.2842
Yasushi Inoue,43,142
Benito Pérez Galdós,28.12722222,-15.43138889
Anna Seghers,50,8.266666667
Silvina Ocampo,-34.59972222,-58.38194444
Yaşar Kemal,37.19027778,36.09194444
Thomas Flanagan,41.03888889,-73.61388889
Moses I. Finley,40.67,-73.94
Helen Keller,34.730839,-87.702854
Bruce Duffy,38.895,-77.03666667
Richard Hughes,51.36666667,-0.4666666667
Tove Jansson,60.17333333,24.94861111
al-Tayyib Salih,18.050236,30.949517
Nicolas Bouvier,46.18333333,6.133333333
Georg Christoph Lichtenberg,49.83333333,8.75
H. G. Wells,51.507222,-0.1275
Malcolm Lowry,53.38333333,-3.016666667
Aleksandar Tišma,46.15555556,19.9725
Saki,20.14444444,92.89694444
Tess Slesinger,40.67,-73.94
Carl Van Vechten,41.98333333,-91.66861111
Milton Rokeach,50.81666667,23.88333333
Veronica Wedgwood,55.16666667,-2
Edward Lewis Wallant,41.30833333,-72.925
Maria Dermoût,-6.888333333,109.6752778
Abraham Cowley,51.507222,-0.1275
Adam Gordon,38.57694444,-28.70277778
"Alfred, Lord Tennyson",53.2346,0.01219
Ambrose Philips,52.61666667,-2.716666667
Charles Mackay,56.39527778,-3.431666667
Christopher Smart,51.24936944,0.2840194444
Colley Cibber,51.507222,-0.1275
Cornelius Whur,unknown,
Edgar Allen Poe,42.35777778,-71.06166667
Edward Edwin Foot,unknown,
Edward Jerningham,52.666667,1
Edward Young,50.97866111,-1.242819444
Eliza Cook,51.498,-0.10394
Elizabeth Barrett Browning,54.78333333,-1.566666667
Elizabeth Oakes Smith,43.85777778,-70.24027778
Erasmus Darwin,53.025,-0.868611
George Crabbe,52.15,1.6
George Eveleigh,unknown,
Hannah Cowley,50.903,-3.488
Henry Kirke White,52.955,-1.149166667
Henry Wadsworth Longfellow,43.66666667,-70.26666667
Isaac Watts,50.906944,-1.404722
James Grainger,55.7784,-2.3426
John Armstrong,55.5,-2.5
John Banks,unknown,
John Close,54.379,-2.076
John Duncombe,51.507222,-0.1275
John Dyer,51.928,-4.098
"John Hervey, 2nd Baron Hervey",unknown,
John Keats,51.507222,-0.1275
"John Sheffield, 1st Duke of Buckingham and Normanby",51.507222,-0.1275
Joseph Addison,51.206389,-1.769167
Joseph Cottle,51.45,-2.583333333
Joseph Warton,51.11611111,-0.5638055556
Julia A. Moore,44.405,-83.78
Leigh Hunt,51.6316,-0.1265
"Margaret Cavendish, Duchess of Newcastle-upon-Tyne",51.888611,0.903611
Martin Farquhar Tupper,51.507222,-0.1275
Mary Robinson,51.45,-2.583333333
Nahum Tate,53.3425,-6.265833333
Oliver Goldsmith,53.85,-8.02
Ralph Waldo Emerson,42.35777778,-71.06166667
