language,category,count
LANGUAGE,,515
Russian,LANGUAGE,33
Japanese,LANGUAGE,4
Hungarian,LANGUAGE,10
Danish,LANGUAGE,3
Dutch,LANGUAGE,3
English,LANGUAGE,290
German,LANGUAGE,40
Swedish,LANGUAGE,5
Greek,LANGUAGE,3
Hindi,LANGUAGE,1
Catalan,LANGUAGE,2
French,LANGUAGE,62
Italian,LANGUAGE,23
Occitan,LANGUAGE,1
Romanian,LANGUAGE,1
Spanish,LANGUAGE,13
Chinese,LANGUAGE,6
Czech,LANGUAGE,2
Polish,LANGUAGE,4
Serbian,LANGUAGE,4
Kannada,LANGUAGE,1
Turkish,LANGUAGE,1
Multiple Languages,LANGUAGE,1
Arabic,LANGUAGE,2
